DATAFLOW,LAST UPDATE,freq,sex,age,training,wstatus,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Austria,2024,8.7,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Ostösterreich,2024,10.4,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Burgenland,2024,,u,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Niederösterreich,2024,7.8,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Wien,2024,12.9,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Südösterreich,2024,7.7,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Kärnten,2024,7.8,u,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Steiermark,2024,7.6,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Westösterreich,2024,7.1,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Oberösterreich,2024,7.5,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Salzburg,2024,5.6,u,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Tirol,2024,5.6,u,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Vorarlberg,2024,10.2,u,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Bosnia and Herzegovina,2024,14.7,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Belgium,2024,7.3,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024,9.0,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Vlaams Gewest,2024,5.7,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Prov. Antwerpen,2024,6.6,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Prov. Limburg (BE),2024,3.5,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Prov. Oost-Vlaanderen,2024,6.0,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Prov. Vlaams-Brabant,2024,6.3,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Prov. West-Vlaanderen,2024,5.0,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Région wallonne,2024,9.4,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Prov. Brabant wallon,2024,7.5,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Prov. Hainaut,2024,11.3,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Prov. Liège,2024,8.5,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Prov. Luxembourg (BE),2024,6.6,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Prov. Namur,2024,9.8,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Bulgaria,2024,10.5,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Severna i Yugoiztochna Bulgaria,2024,15.2,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Severozapaden,2024,20.8,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Severen tsentralen,2024,13.7,b,
